url,week_price,location,desc,topics,available_now,photos_taken_on,bedrooms,bathrooms,tube,included,property_id
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
https://myrooms.co.uk/properties/spacious-double-room-in-swiss-cottage-boundary-road-nw8-a/,285,b'Swiss Cottage',"b'Spacious Couple room in Swiss Cottage, Boundary Road, NW8, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#225-A'
https://myrooms.co.uk/properties/1-faber-house-sw8-a/,280,b'Stockwell Underground Station',"b'An amazing double room for couples to rent in the heart of Stockwell, 1 Faber House, SW8, -A'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",True,2018-10-01,3,1,b'Stockwell Underground Station',b'All Bills and Wifi',b'#165-A'
https://myrooms.co.uk/properties/charming-brand-new-double-room-couples-parsons-greenfulham-broadway-allestree-court-sw6/,285,b'Fulham Broadway Underground Station',"b'Charming double room for couples in Parsons Green/Fulham Broadway, Allestree Road, SW6, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2017-11-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#136-A'
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-flat-share-in-hackney-hockley-house-e9-b/,190,b'Hackney',"b'Great accommodation for single use in a flat-share in Hackney, Hockley House, E9, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-07-01,4,1,b'Hackney',b'All Bills and Wifi',b'#153 - B'
https://myrooms.co.uk/properties/lovely-double-room-for-couple-in-clapham-junction-lavander-hill-sw1p-c/,245,b'CLAPHAM JUNCTION STATION',"b'Lovely double room for couples in Clapham Junction, Lavander Hill, SW11, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-06-01,3,1,b'CLAPHAM JUNCTION STATION',b'All Bills and Wifi',b'#213-C'
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
https://myrooms.co.uk/properties/spacious-double-room-in-swiss-cottage-boundary-road-nw8-a/,285,b'Swiss Cottage',"b'Spacious Couple room in Swiss Cottage, Boundary Road, NW8, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#225-A'
https://myrooms.co.uk/properties/1-faber-house-sw8-a/,280,b'Stockwell Underground Station',"b'An amazing double room for couples to rent in the heart of Stockwell, 1 Faber House, SW8, -A'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",True,2018-10-01,3,1,b'Stockwell Underground Station',b'All Bills and Wifi',b'#165-A'
https://myrooms.co.uk/properties/charming-brand-new-double-room-couples-parsons-greenfulham-broadway-allestree-court-sw6/,285,b'Fulham Broadway Underground Station',"b'Charming double room for couples in Parsons Green/Fulham Broadway, Allestree Road, SW6, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2017-11-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#136-A'
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-flat-share-in-hackney-hockley-house-e9-b/,190,b'Hackney',"b'Great accommodation for single use in a flat-share in Hackney, Hockley House, E9, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-07-01,4,1,b'Hackney',b'All Bills and Wifi',b'#153 - B'
https://myrooms.co.uk/properties/lovely-double-room-for-couple-in-clapham-junction-lavander-hill-sw1p-c/,245,b'CLAPHAM JUNCTION STATION',"b'Lovely double room for couples in Clapham Junction, Lavander Hill, SW11, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-06-01,3,1,b'CLAPHAM JUNCTION STATION',b'All Bills and Wifi',b'#213-C'
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
https://myrooms.co.uk/properties/spacious-double-room-in-swiss-cottage-boundary-road-nw8-a/,285,b'Swiss Cottage',"b'Spacious Couple room in Swiss Cottage, Boundary Road, NW8, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#225-A'
https://myrooms.co.uk/properties/1-faber-house-sw8-a/,280,b'Stockwell Underground Station',"b'An amazing double room for couples to rent in the heart of Stockwell, 1 Faber House, SW8, -A'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",True,2018-10-01,3,1,b'Stockwell Underground Station',b'All Bills and Wifi',b'#165-A'
https://myrooms.co.uk/properties/charming-brand-new-double-room-couples-parsons-greenfulham-broadway-allestree-court-sw6/,285,b'Fulham Broadway Underground Station',"b'Charming double room for couples in Parsons Green/Fulham Broadway, Allestree Road, SW6, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2017-11-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#136-A'
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-flat-share-in-hackney-hockley-house-e9-b/,190,b'Hackney',"b'Great accommodation for single use in a flat-share in Hackney, Hockley House, E9, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-07-01,4,1,b'Hackney',b'All Bills and Wifi',b'#153 - B'
https://myrooms.co.uk/properties/lovely-double-room-for-couple-in-clapham-junction-lavander-hill-sw1p-c/,245,b'CLAPHAM JUNCTION STATION',"b'Lovely double room for couples in Clapham Junction, Lavander Hill, SW11, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-06-01,3,1,b'CLAPHAM JUNCTION STATION',b'All Bills and Wifi',b'#213-C'
https://myrooms.co.uk/properties/incredible-double-room-for-couples-in-a-brand-new-flatshare-in-stockwell-wandsworth-road-sw8-c/,285,b'Stockwell',"b'Incredible double room for couples in a brand new flatshare in Stockwell, Wandsworth Road, SW8, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-06-01,3,1,b'Stockwell',b'All Bills and Wifi',b'#149-C'
https://myrooms.co.uk/properties/great-double-room-rent-finsbury-park-sparsholt-road-n19/,235,b'Finsbury Park',"b'A great double room for couples to rent in Finsbury Park, Sparsholt Road, N19, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location']",True,2017-09-01,4,1,b'Finsbury Park',b'All Bills and Wifi',b'#130-A'
https://myrooms.co.uk/properties/double-room-for-couple-available-in-a-three-bedrooms-apartment-in-grove-hall-court-nw8-a/,285,"b""St. John's Wood""","b'Double-room for couple available in a three bedrooms apartment in Grove Hall Court, NW8 -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-11-01,3,1,"b""St. John's Wood""",b'All Bills and Wifi',b'#168-A'
https://myrooms.co.uk/properties/bute-street-london-sw7-3ey/,265,b'South Kensington Underground Station',"b'An amazing double room available in South Kensington, Bute Street, SW7, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2014-12-01,3,1,b'South Kensington Underground Station',b'All Bills and Wifi',b'#6-B'
https://myrooms.co.uk/properties/gracious-double-room-for-couples-in-a-3-bedroom-apartment-in-london-bridge-magdalen-street-se1-c/,285,b'London Bridge',"b'Gracious double room for couples in a 3 bedroom apartment in London Bridge, Magdalen Street, SE1 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-05-01,3,1,b'London Bridge',b'All Bills and Wifi',b'#90-C'
https://myrooms.co.uk/properties/brand-new-room-to-rent-fabulous-aldgate-prescott-street-e1/,285,b'Aldgate East',"b'A marvelous double room to rent in the fabulous Aldgate, Prescott Street, E1, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-04-01,3,1,b'Aldgate East',b'All Bills and Wifi',b'#111-A'
https://myrooms.co.uk/properties/clerkenwell-seward-street-ec1v/,295,b'Barbican',"b'An astonishing double room available in Barbican, Seward Street, EC1V \xe2\x80\x93 B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-01-01,3,1,b'Barbican',b'All Bills and Wifi',b'#39-B'
https://myrooms.co.uk/properties/wonderful-double-room-for-couple-in-surr-street-n7-a/,285,b'Caledonian Road Underground Station',"b'Wonderful double room for couples in Caledonian Road, Surr Street, N7, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-02-01,3,1,b'Caledonian Road Underground Station',b'All Bills and Wifi',b'#186-A'
https://myrooms.co.uk/properties/gorgeous-double-room-couples-rent-holloway-elfort-road-n5/,245,b'Arsenal',"b'A gorgeous double room for couples to rent in Holloway, Elfort Road, N5 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-09-01,3,1,b'Arsenal',b'All Bills and Wifi',b'#113-C'
https://myrooms.co.uk/properties/double-room-couple-rent-victoria-regency-street-sw1/,275,b'Victoria Underground Station',"b'Marvelous double room for couples to rent in Victoria, Regency Street, SW1, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-02-01,3,1,b'Victoria Underground Station',b'All Bills and Wifi',b'#1-C'
https://myrooms.co.uk/properties/spacoius-room-for-couple-in-kilburn-iverson-road-sw8-b/,260,b'Kilburn Underground Station',"b'Spacious room for couples in a modern flat-share in Kilburn, Iverson Road, SW8, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-06-01,3,1,b'Kilburn Underground Station',b'All Bills and Wifi',b'#216-B'
https://myrooms.co.uk/properties/a-lovley-accomodation-for-couples-in-a-flatshare-in-borough-lancaster-street-se10-a/,265,b'Borough',"b'A lovley accomodation for couples in a flatshare in Borough, Lancaster Street, SE10 -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-05-01,3,1,b'Borough',b'All Bills and Wifi',b'#120-A'
https://myrooms.co.uk/properties/lovely-double-room-couples-rent-hammersmith-flora-gardens-w6/,265,b'Ravenscourt Park',"b'A lovely double room for couples to rent in Hammersmith, Flora Gardens, W6 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-09-01,3,1,b'Ravenscourt Park',b'All Bills and Wifi',b'#105-C'
https://myrooms.co.uk/properties/delightful-room-for-couples-in-a-great-3-bedroom-flat-in-camden-bayham-street-nw1-c/,285,b'Camden Town Underground Station',"b'Delightful room for couples in a great 3 bedroom flat in Camden, Bayham Street, NW1, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-04-01,3,1,b'Camden Town Underground Station',b'All Bills and Wifi',b'#202-C'
https://myrooms.co.uk/properties/massive-double-room-for-couple-available-in-edrich-house-sw4-c/,285,b'\xc2\xa0Stockwell Underground Station',"b'Delightful double-room for couples available in a great flat-share with balcony in Stockwell, Edrich House, SW4, -C'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-11-01,3,1,b'\xc2\xa0Stockwell Underground Station',b'All Bills and Wifi',b'#172-C'
https://myrooms.co.uk/properties/double-room-for-couples-available-in-vauxhall-st-george-wharf-sw8-a/,295,b'Vauxhall Underground Station',"b'Brand new double room for couples available in a modern flat-share in Vauxhall, St. George Wharf, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-05-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#210-A'
https://myrooms.co.uk/properties/superb-room-rent-battersea-batten-street-london-sw11/,280,b'Clapham Junction',"b'A superb double room to rent in a two bedroom flat in Battersea, Batten Street, London, SW11, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fully Furnished', b'Living room']",False,2017-09-01,2,2,b'Clapham Junction',b'All Bills and Wifi',b'#122-B'
https://myrooms.co.uk/properties/well-presented-double-room-couples-lovely-flatshare-paddington-london-orsett-terrace-w2/,280,b'Paddington',"b'A well-presented double room for couples in a lovely flatshare in Paddington, London, Orsett Terrace, W2 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-10-01,3,1,b'Paddington',b'All Bills and Wifi',b'#54-C'
https://myrooms.co.uk/properties/massive-and-modern-double-room-for-couples-with-private-balcony-in-swiss-cottage-buttermere-court-nw8-a/,285,b'Swiss Cottage',"b'Massive and modern double room for couples with private balcony in Swiss Cottage, Buttermere Court, NW8, -A'","[b'Balcony', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",False,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#160-A'
https://myrooms.co.uk/properties/gorgeous-double-room-for-couple-available-in-saint-augustines-road-flat-3-nw1-c/,290,b'Caledonian Road Tube Station',"b'Gorgeous double room for couple available in Saint Augustine\xe2\x80\x99s Road flat 3, NW1 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-02-01,3,1,b'Caledonian Road Tube Station',b'All Bills and Wifi',b'#181-C'
https://myrooms.co.uk/properties/a-lovely-double-room-for-couple-to-rent-in-south-kensington-bute-street-sw7/,275,b'South Kensington',"b'A lovely double room for couples to rent in South Kensington, Bute Street, SW7 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-04-01,3,1,b'South Kensington',b'All Bills and Wifi',b'#6-C'
https://myrooms.co.uk/properties/astonishing-double-room-couples-available-rent-whitechapel-area-wyllen-close-e1/,265,b'Bethnal Green',"b'An astonishing double room for couples available to rent in Whitechapel area, Wyllen Close, E1 -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-09-01,3,1,b'Bethnal Green',b'All Bills and Wifi',b'#83-C'
https://myrooms.co.uk/properties/lovely-room-for-couple-available-in-earls-court-wetherby-mansion-sw5-c/,285,"b""Earl's Court Underground Station""","b'Lovely room for couples available in Earl\xe2\x80\x99s Court, Wetherby Mansion, SW5, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-06-01,3,1,"b""Earl's Court Underground Station""",b'All Bills and Wifi',b'#211-C'
https://myrooms.co.uk/properties/holland-road-w14-8be/,255,"b""Shepherd's Bush""","b'A superb double room in a great flat-share in Shepherd\xe2\x80\x99s Bush, Holland Road, W14, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-05-01,3,1,"b""Shepherd's Bush""",b'All Bills and Wifi',b'#22-B'
https://myrooms.co.uk/properties/perfect-room-available-now-to-rent-in-fulham-ongar-road-sw6/,275,b'Fulham Broadway',"b'Perfect double room available now to rent in Fulham, Ongar Road, SW6 -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2016-01-01,3,1,b'Fulham Broadway',b'All Bills and Wifi',b'#59-B'
https://myrooms.co.uk/properties/bright-couple-room-in-old-street-hoxton-street-n1-c/,220,b'Old Street Station',"b'Bright and brand new room in a modern flat-share in Old Street, Hoxton Street, N1, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-07-01,3,1,b'Old Street Station',b'All Bills and Wifi',b'#222-C'
https://myrooms.co.uk/properties/kensington-semley-house-sw1w/,285,b'Victoria Underground Station',"b'Stunning double room for couples located in Victoria, Semley House, SW1W, -C'","[b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Restaurants']",False,2015-01-01,3,1,b'Victoria Underground Station',b'All Bills and Wifi',b'#49-C'
https://myrooms.co.uk/properties/bright-double-room-for-couple-in-st-jamess-park-page-street-sw1p-4er-c/,290,"b""St. James's Park Underground station""","b'Stunning double room in a brand new flat-share in St. James\xe2\x80\x99s Park, Page Street, SW1P, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-06-01,3,1,"b""St. James's Park Underground station""",b'All Bills and Wifi',b'#212-C'
https://myrooms.co.uk/properties/stunning-double-room-for-couples-in-a-brand-new-flat-in-battersea-cobalt-place-sw11-b/,295,b'Battersea Park',"b'Stunning double room for couples in a brand new flat in Battersea, Cobalt Place, SW11, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-06-01,3,1,b'Battersea Park',b'All Bills and Wifi',b'#150-B'
https://myrooms.co.uk/properties/fantastic-room-available-angel-jeygrove-court-ec1n/,295,b'Chancery Lane Station',"b'Stunning bedroom with private balocony in the hearth of Holborn, Jeygrove Court, EC1N, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-01-01,3,1,b'Chancery Lane Station',b'All Bills and Wifi',b'#27-A'
https://myrooms.co.uk/properties/beautiful-double-room-couples-rent-pimlico-tachbrook-street-gf-sw1v/,285,b'Pimlico Underground Station',"b'A beautiful double room for couples to rent in Pimlico, Tachbrook Street (LGF), SW1V, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-09-01,3,1,b'Pimlico Underground Station',b'All Bills and Wifi',b'#100-A'
https://myrooms.co.uk/properties/amazing-en-suite-room-couples-rent-heart-fulham-fulham-park-gardens-sw6/,285,b'Fulham Broadway Underground Station',"b'An amazing en-suite room for couples to rent in the heart of Fulham, Fulham Park Gardens, SW6, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2017-09-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#134-B'
https://myrooms.co.uk/properties/lovely-room-for-couple-in-saint-augustines-road-flat-2-nw1-c/,290,b'Caledonian Road Underground Station',"b'Lovely and spacious bedroom for couples in Caledonian Road, Saint Augustine\xe2\x80\x99s Road, Flat 2, NW1, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-02-01,3,1,b'Caledonian Road Underground Station',b'All Bills and Wifi',b'#183-C'
https://myrooms.co.uk/properties/spacious-double-room-couples-brand-new-flatshare-earls-court-warwick-gardens-c/,285,"b""Earl's Court Underground Station""","b'Spacious double room for couples in a brand new flatshare in Earl\xe2\x80\x99s Court, Warwick Gardens, First Floor, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-01-01,3,1,"b""Earl's Court Underground Station""",b'All Bills and Wifi',b'#136-C'
https://myrooms.co.uk/properties/double-room-for-couples-in-highbury-islington-cobble-mews-n1-c/,275,b'Highbury & Islington Underground Station',"b'Stunning & spacious double room for couples in Highbury & Islington, Cobble Mews, N1, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-05-01,3,2,b'Highbury & Islington Underground Station',b'All Bills and Wifi',b'#209-C'
https://myrooms.co.uk/properties/stunning-accommodation-for-couples-in-a-modern-flatshare-in-pimlico-tachbrook-street-gf-sw1v-c/,285,b'Pimlico Underground Station',"b'Stunning accommodation for couples in a modern flatshare in Pimlico, Tachbrook Street (GF), SW1V, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-05-01,3,1,b'Pimlico Underground Station',b'All Bills and Wifi',b'#101-C'
https://myrooms.co.uk/properties/kensington-walnut-tree-house-sw10/,265,b'Fulham Broadway',"b'Superb double room available in Kensington, Walnut Tree House, SW10 -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2015-01-01,3,1,b'Fulham Broadway',b'All Bills and Wifi',b'#45-B'
https://myrooms.co.uk/properties/an-amazing-double-room-to-rent-in-notting-hill-bonchurch-road-w10/,285,b'Ladbroke Grove Underground Station',"b'An amazing double room to rent in Notting Hill, Bonchurch Road, W10, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Garden/Terrace']",False,2015-03-01,3,1,b'Ladbroke Grove Underground Station',b'All Bills and Wifi',b'#77-A'
https://myrooms.co.uk/properties/in-battersea-park-queenstown-road-sw8-b/,255,b'Battersea Park',"b'Lovely room for couples in Battersea Park, Queenstown Road, SW8, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2019-06-01,3,1,b'Battersea Park',b'All Bills and Wifi',b'#215-B'
https://myrooms.co.uk/properties/double-room-for-couple-with-terrace-in-north-greenwich-brunel-house-se10-c/,255,b'North Greenwich Station',"b'Double room for couples with terrace in North Greenwich, Brunel House, SE10, -C'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Garden/Terrace']",False,2019-05-01,3,1,b'North Greenwich Station',b'All Bills and Wifi',b'#208-C'
https://myrooms.co.uk/properties/brand-new-room-rent-kensington-kenton-court-w14/,300,b'Kensington High Street Underground Station',"b'A spacious double room for couples to rent in High Street Kensington, Kenton Court, W14, -B'","[b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",False,2017-07-01,3,1,b'Kensington High Street Underground Station',b'All Bills and Wifi',b'#129-B'
https://myrooms.co.uk/properties/fantastic-double-room-for-couples-in-the-hearth-of-angel-myddelton-street-ec1r-c/,270,b'Angel Underground Station',"b'Fantastic double room for couples in the hearth of Angel, Myddelton Street, EC1R, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",False,2018-05-01,3,1,b'Angel Underground Station',b'All Bills and Wifi',b'#32-C'
